id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
99,Leon Andreasen,17,968,1,0.826,0,0.2232,15,5,2,0,M S,Hannover 96,1,0.826,1.3568,1.1022,2014
100,Edgar Prib,20,1039,1,1.2913,2,1.2092,10,9,4,0,D F M S,Hannover 96,1,1.2913,2.9511,0.6973,2014
112,Alejandro Gálvez,20,1543,1,1.5647,1,0.6399,13,1,6,0,D M S,Werder Bremen,1,1.5647,3.1255,2.3949,2014
114,Philipp Bargfrede,16,1256,1,0.5907,0,0.2108,20,3,3,0,M S,Werder Bremen,1,0.5907,3.3123,2.647,2014
118,Levin Öztunali,22,887,1,0.9102,3,2.2504,18,15,1,0,M S,"Bayer Leverkusen,Werder Bremen",1,0.9102,3.3779,0.9229,2014
121,Melvyn Lorenzen,3,146,1,0.1764,0,0.0408,2,2,0,0,F S,Werder Bremen,1,0.1764,0.6125,0.3953,2014
130,Dominic Maroh,29,2370,1,0.9672,0,0.3314,11,4,2,0,D S,FC Cologne,1,0.9672,3.045,2.978,2014
133,Kevin Vogt,32,2689,1,1.3782,3,2.4327,21,29,8,0,M S,FC Cologne,1,1.3782,7.7295,5.1304,2014
139,Simon Zoller,9,481,1,1.0221,0,0.1476,9,4,1,0,F M S,FC Cologne,1,1.0221,1.667,0.4972,2014
140,Yannick Gerhardt,16,832,1,0.698,1,0.8021,13,8,2,0,M S,FC Cologne,1,0.698,2.1698,1.1225,2014
143,Bard Finne,10,234,1,1.2485,0,0.1778,9,4,0,0,F S,FC Cologne,1,1.2485,1.4804,0.0541,2014
150,Josuha Guilavogui,27,1775,1,0.9733,0,0.3873,17,9,4,1,M S,Wolfsburg,1,0.9733,6.7494,5.8166,2014
151,Vieirinha,31,2312,1,1.8217,5,3.5271,33,37,1,0,D M S,Wolfsburg,1,1.8217,10.6717,6.8361,2014
154,André Schürrle,14,661,1,3.2793,2,1.1602,25,5,1,0,F M S,Wolfsburg,1,3.2793,5.1633,1.2033,2014
160,Nicklas Bendtner,18,559,1,0.6328,0,0.2584,9,8,0,0,F S,Wolfsburg,1,0.6328,1.5022,0.7075,2014
162,Timm Klose,12,959,1,0.275,0,0.0589,3,1,0,0,D S,Wolfsburg,1,0.275,4.3306,4.3306,2014
164,Gotoku Sakai,18,1441,1,0.3086,1,1.9051,9,15,0,0,D S,VfB Stuttgart,1,0.3086,3.8249,2.3397,2014
165,Emir Spahic,22,1874,1,0.7127,0,0.3122,10,2,5,2,D,Bayer Leverkusen,1,0.7127,3.7933,3.3896,2014
166,Cléber,12,1030,1,0.7058,0,0.0,13,0,4,1,D S,Hamburger SV,1,0.7058,0.7843,0.4442,2014
170,Nicolai Müller,27,2089,1,3.6476,4,3.8367,25,26,7,0,F M S,Hamburger SV,1,3.6476,8.8434,3.3448,2014
184,Ömer Toprak,29,2494,1,0.6136,0,1.2303,10,9,10,0,D S,Bayer Leverkusen,1,0.6136,3.6424,2.6316,2014
185,Wendell,26,2251,1,0.8291,1,1.3331,17,23,8,0,D S,Bayer Leverkusen,1,0.8291,4.7854,3.1281,2014
201,Tony Jantschke,31,2746,1,1.2426,0,1.0018,12,14,5,0,D,Borussia M.Gladbach,1,1.2426,9.3494,8.8581,2014
213,Thorgan Hazard,28,901,1,2.631,7,4.5285,20,21,1,0,F M S,Borussia M.Gladbach,1,2.631,9.2431,3.7512,2014
215,Roel Brouwers,20,1411,1,1.2225,0,0.3151,6,3,2,0,D S,Borussia M.Gladbach,1,1.2225,4.7583,4.7351,2014
262,Leonardo Bittencourt,26,1375,1,2.397,3,1.7182,30,16,5,1,M S,Hannover 96,1,2.397,5.0284,1.4612,2014
263,Marwin Hitz,25,2250,1,0.1104,0,0.0178,1,1,1,0,GK,Augsburg,1,0.1104,1.2083,1.2083,2014
266,Jan-Ingwer Callsen-Bracker,23,2053,1,0.5763,2,0.7174,11,6,4,0,D S,Augsburg,1,0.5763,3.1517,2.9637,2014
268,Daniel Baier,34,3056,1,1.526,1,1.3235,31,29,4,0,M,Augsburg,1,1.526,11.3123,9.5919,2014
269,Dominik Kohr,26,1645,1,1.4609,1,0.4686,18,11,10,0,D M S,Augsburg,1,1.4609,2.3285,1.5782,2014
