Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Défense,"23,15",46.58,3.58,2019,1 fsv mainz 05
Milieu de terrain,"22,40",29.0,2.9,2019,1 fsv mainz 05
Attaquant,"23,88",39.95,4.99,2019,1 fsv mainz 05
Total,"22,94",121.58,3.47,2019,1 fsv mainz 05
Gardien,"22,20",15.3,3.06,2020,1 fsv mainz 05
Défense,"24,73",75.6,6.87,2020,1 fsv mainz 05
Milieu de terrain,"23,80",38.4,3.84,2020,1 fsv mainz 05
Attaquant,"24,00",34.0,3.4,2020,1 fsv mainz 05
Total,"23,92",163.3,4.54,2020,1 fsv mainz 05
Gardien,"22,33",5.55,1.85,2014,1  koln
Défense,"25,13",21.7,2.71,2014,1  koln
Milieu de terrain,"24,57",13.05,1.86,2014,1  koln
Attaquant,"24,22",10.43,1.16,2014,1  koln
Total,"24,37",50.73,1.88,2014,1  koln
Gardien,"23,33",8.55,2.85,2015,1  koln
Défense,"24,44",20.45,2.27,2015,1  koln
Milieu de terrain,"23,63",26.68,3.33,2015,1  koln
Attaquant,"24,40",12.95,2.59,2015,1  koln
Total,"24,04",68.63,2.75,2015,1  koln
Gardien,"24,40",12.9,2.58,2016,1  koln
Défense,"24,60",30.95,3.1,2016,1  koln
Milieu de terrain,"23,67",38.8,4.31,2016,1  koln
Attaquant,"25,17",33.5,5.58,2016,1  koln
Total,"24,40",116.15,3.87,2016,1  koln
Gardien,"23,50",7.58,1.89,2017,1  koln
Défense,"21,79",31.05,2.22,2017,1  koln
Milieu de terrain,"23,27",35.95,3.27,2017,1  koln
Attaquant,"26,44",17.15,1.91,2017,1  koln
Total,"23,50",91.73,2.41,2017,1  koln
Gardien,"23,75",6.6,1.65,2018,1  koln
Défense,"22,67",20.6,2.29,2018,1  koln
Milieu de terrain,"24,50",30.15,2.51,2018,1  koln
Attaquant,"24,67",26.15,2.91,2018,1  koln
Total,"23,97",83.5,2.46,2018,1  koln
Gardien,"24,50",4.55,1.14,2019,1  koln
Défense,"23,30",29.95,3.0,2019,1  koln
Milieu de terrain,"25,00",34.5,3.14,2019,1  koln
Attaquant,"24,50",29.48,2.95,2019,1  koln
Total,"24,31",98.48,2.81,2019,1  koln
Gardien,"26,00",5.2,1.73,2020,1  koln
Défense,"23,09",30.3,2.75,2020,1  koln
Milieu de terrain,"24,40",41.1,4.11,2020,1  koln
Attaquant,"23,67",41.6,3.47,2020,1  koln
Total,"23,89",118.2,3.28,2020,1  koln
Gardien,"26,00",10.6,2.65,2014,hannover 96
Défense,"25,38",24.5,1.88,2014,hannover 96
Milieu de terrain,"22,45",21.4,1.95,2014,hannover 96
Attaquant,"25,86",20.15,2.88,2014,hannover 96
Total,"24,63",76.65,2.19,2014,hannover 96
Gardien,"23,75",8.9,2.23,2015,hannover 96
Défense,"24,17",20.93,1.74,2015,hannover 96
Milieu de terrain,"21,55",14.05,1.28,2015,hannover 96
Attaquant,"23,00",16.95,1.41,2015,hannover 96
Total,"23,03",60.83,1.56,2015,hannover 96
Gardien,"24,00",1.2,0.4,2016,hannover 96
Défense,"23,09",13.85,1.26,2016,hannover 96
Milieu de terrain,"23,33",7.25,1.21,2016,hannover 96
Attaquant,"23,15",16.88,1.3,2016,hannover 96
Total,"23,24",39.18,1.19,2016,hannover 96
Gardien,"25,75",2.8,0.7,2017,hannover 96
Défense,"25,00",44.8,4.48,2017,hannover 96
Milieu de terrain,"25,14",11.35,1.62,2017,hannover 96
Attaquant,"24,11",34.0,3.78,2017,hannover 96
Total,"24,87",92.95,3.1,2017,hannover 96
Gardien,"27,00",1.9,0.475,2018,hannover 96
Défense,"25,09",31.18,2.83,2018,hannover 96
Milieu de terrain,"25,45",21.8,1.98,2018,hannover 96
Attaquant,"22,64",36.55,3.32,2018,hannover 96
Total,"24,68",91.43,2.47,2018,hannover 96
Gardien,"29,60",2.93,0.585,2019,hannover 96
Défense,"25,45",12.8,1.16,2019,hannover 96
Milieu de terrain,"24,55",8.45,0.768,2019,hannover 96
Attaquant,"22,36",14.75,1.34,2019,hannover 96
Total,"24,84",38.93,1.02,2019,hannover 96
Gardien,"30,50",0.95,0.238,2020,hannover 96
Défense,"27,14",6.35,0.907,2020,hannover 96
Milieu de terrain,"24,13",7.1,0.888,2020,hannover 96
Attaquant,"22,50",9.65,0.804,2020,hannover 96
Total,"25,00",24.05,0.776,2020,hannover 96
Gardien,"24,00",5.95,1.98,2014,vfb stuttgart
