Position,Valeur maximum,Years,Crew
Milieu,0.25,2019,cesena-fc
Attaquant,0.3,2019,cesena-fc
Total,0.3,2019,cesena-fc
Gardien,0.275,2020,cesena-fc
Défense,0.3,2020,cesena-fc
Milieu,0.5,2020,cesena-fc
Attaquant,0.4,2020,cesena-fc
Total,0.5,2020,cesena-fc
Gardien,0.6,2014,fc-bologna
Défense,4.0,2014,fc-bologna
Milieu,2.5,2014,fc-bologna
Attaquant,1.8,2014,fc-bologna
Total,4.0,2014,fc-bologna
Gardien,3.0,2015,fc-bologna
Défense,3.2,2015,fc-bologna
Milieu,9.0,2015,fc-bologna
Attaquant,11.0,2015,fc-bologna
Total,11.0,2015,fc-bologna
Gardien,2.0,2016,fc-bologna
Défense,4.0,2016,fc-bologna
Milieu,15.0,2016,fc-bologna
Attaquant,8.0,2016,fc-bologna
Total,15.0,2016,fc-bologna
Gardien,1.0,2017,fc-bologna
Défense,7.0,2017,fc-bologna
Milieu,25.0,2017,fc-bologna
Attaquant,6.0,2017,fc-bologna
Total,25.0,2017,fc-bologna
Gardien,7.0,2018,fc-bologna
Défense,8.0,2018,fc-bologna
Milieu,10.0,2018,fc-bologna
Attaquant,15.0,2018,fc-bologna
Total,15.0,2018,fc-bologna
Gardien,5.5,2019,fc-bologna
Défense,13.5,2019,fc-bologna
